Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
144.53125,-78.21119560728542,165.9460987008868,-88.12916512506987,-37.42831085505601
145.01953125,-76.89639424358883,-46.93749000894787,-85.83879272833178,114.8368873377216
145.5078125,-77.0077957547627,94.78248373287589,-86.16290678963608,-67.27807963760441
145.99609375,-75.57871195129646,-123.6648831013843,-94.0542362939464,140.4278232244768
146.484375,-74.30475175612037,37.85895617259714,-88.76637709774874,60.29745576792142
146.97265625,-75.71535078330668,-150.8532953467594,-82.48569936174681,-105.2274847523935
147.4609375,-79.75421173167113,25.73409559763356,-80.40671253875601,86.66550801995116
147.94921875,-85.94501561345034,-155.9446829149134,-80.72111097219482,-81.40151282922868
148.4375,-100.8521933055588,80.06705562366,-83.10199652072983,107.098477218302
148.92578125,-86.10302525662684,-11.18148694649661,-91.01088896602684,-64.2740574873857
149.4140625,-81.83889107160292,150.7194610798203,-100.5064459249943,-66.14980471831328
149.90234375,-77.91149090850925,-39.97518491196902,-90.45877178881761,158.5885588977509
150.390625,-75.7056823712347,156.0185284647109,-86.15908382296185,-5.283749182737169
150.87890625,-74.92439197211202,-9.430067388338728,-87.9523628676981,170.7903261558421
151.3671875,-75.8594516591708,176.9160614909051,-96.9026217216441,-83.190842445626
151.85546875,-78.68390315895937,14.15820483365039,-88.13607400085772,50.42059252725249
152.34375,-83.22290995975388,-128.056576050983,-85.06626424101034,-125.1110704025617
152.83203125,-88.16393596543408,153.6614371249001,-84.33223688994377,52.5624095970297
153.3203125,-80.76976737061582,18.83866239860088,-87.11603864712026,-128.0541516525075
153.80859375,-80.99557649060421,-162.0652503250488,-94.20315893338096,56.47899364687883
154.296875,-86.80427225733128,3.906243029185473,-94.34305409075621,170.3794375561297
154.78515625,-86.72326672115781,75.15998940308086,-88.30780862101679,-36.34428020822308
155.2734375,-77.66011091112594,-118.2339337077975,-87.18396998556133,126.5276855169268
155.76171875,-74.7229897680634,55.39758932226362,-86.52927155172222,-65.19712504694418
156.25,-74.73103086405216,-143.4969487619134,-87.30302664536811,102.5818118120252
156.73828125,-76.45071415635334,11.7504182041029,-87.84118347591281,-92.1065987271067
157.2265625,-77.78242104848451,172.7420976249415,-86.57351216340309,88.48582049302667
157.71484375,-78.66492366914085,-10.70156158004144,-84.76115846852137,-89.84737640111143
158.203125,-84.18788890737318,-169.0063586542161,-82.44313079483305,90.20893606365141
158.69140625,-82.00964941583713,83.87546592955584,-81.32141274957132,-88.88914104904887
159.1796875,-77.14692928497732,-88.52019141724888,-82.24080427028568,89.53409614426153
159.66796875,-77.12717805886211,100.4517840441217,-84.72008439526928,-102.2705695522738
160.15625,-81.86202415967597,-69.00067833839772,-86.82522082476355,35.62221568286197
160.64453125,-90.5312427656016,57.64201398625223,-83.70238135460673,179.9663799823703
161.1328125,-87.28603277713461,-154.0900909267708,-81.13950191145545,-12.17069112611138
161.62109375,-85.23806639976939,43.86613769592378,-79.55721516095028,161.5913554068647
162.109375,-81.19230974534818,-133.4128902912565,-79.66666435399426,-16.40300561519153
